,text
0,"Great integrity, very knowledgeable, skillful and elite; I’ll say that about sums it up. I’m going to be honest, I work for a financial company myself.. With that
being said, I always study about trading . To see what it’s about or not. I can admit.. I was a bit skeptical on you all’s courses at first. Being straight forward.
For the price, I… More"
1,Horrible customer service! Person on customer service chat wasn’t knowledgeable and was just rude. Not buying anymore Converse.
2,HORRIBLE CUSTOMER SERVICE AND HONORING DISCOUNTS! Placed an order and it took a week for them to tell me it was out of stock and that I wouldn’t receive. So mad how they handle things and will never order from them again. 🤬🤬🤬🤬
3,Worst customer service ever ! I submitted a request for warranty replacement over a month ago and have received no response. Call after call poor customer service.
4,Terrible customer service. I have been waiting on a return for over. Month. Called again today and still no help. DDO NOT USE THETE CHAT TOTALLY WORTHLESS TIMES OUT BEFORE YOU GET SNY KIND OF RESPONSE.
5,"The website is horrible. The personal customization does not work at check out!
I paid with PayPal, I paid with Mastercard.
Both authorizations were deducted from my account and then subsequently refunded."
6,"I saw so many positive reviews about Mrs Olivia James and I must confess that surely she is a skilled professional trader and the best among all as her clients all said, she managed my account after I Invested $1000 and got a successful withdrawal of $10,200 within few days of my investment, up-till now am still so shocked and surprised ""It always… More"
7,"I saw so many positive reviews about Mrs Olivia James and I must confess that surely she is a skilled professional trader and the best among all as her clients all said, she managed my account after I Invested $1000 and got a successful withdrawal of $10,200 within few days of my investment, up-till now am still so shocked and surprised ""It always… More"
8,"Great service, great result, 100% accuracy vey professional most legitimate Forex and stock trader i have very dealt with, I invest $500 and earn $5,400 after 7days of trading with her signals, I highly recommend Mrs Linda james, for most profitable forex/stock and crypto trading! contact her via
Email: Email:Lindajames0337@gmail.com
WhatsApp: +1(832) 324-5625."
9,"You cannot get a hold of customer service at all I don't even think they actually exist. I signed up for their emails and created an account on their website because they promised a 15 percent discount on my first order. Well, there is no such discount that was applied when I attempted to order my first pair of shoes. I have tried their online chat… More"
10,"Most people are complaining about the pandemic disaster that they can not afford $500 there is no job so I saw a review on investment tried it with $1,000 even though they are lower cost of investment. starting from the range of $1,000 but I got a multiplication of my funds to over $12,500 in a week time it's magical because I never believe until I… More"
11,I purchased shoes from converse and they never arrived. FedEx has admitted that they lost the parcel. Converse is refusing to refund the payment. Unable to speak with anyone.
12,"Because is so difficult to contact customer service, and when finally I contact them never can help me."
13,Placed an order on 12/6 with a delivery day of 12/12 part of a bday present today is 12/11 and order status says “processing order” i haven’t even been charge for them no way they will get here on time. Ruined a bday thanks Converse never again you guys are horrible costumer service is horrible and they won’t even cancel the order you guys suck I will never again order from you.
14,Tried to order 5x & could not get an operator of that could even find my information from an entirely different 2day fiasco. If this were a sports team they would definitely be last place in the Junior Varsity League. VANS it is from now on.
15,"I had the best experience working with Mrs Angela Orsborne She started managing my trading account with my first deposit of $1000 and made over $10,550 in less than 2 weeks Thank you for making the process stress free! Highly recommend Mrs Angela Orsborne to anyone regarding their account managing needs! she's very hardworking and her… More"
16,"What a wonderful service from Mrs Emily Alison she handled everything consigning my binary and forex Investment and ensured all my withdrawal were quick and efficient. $15,774 weekly profits with from $1000 capital.That is why i am recommending her to everyone who is having difficulty trading or had made loses like i use to.
contact her now through this Email:emilyalison691@gmail.com
WhatsApp +1 (248) 266-2859"
17,Mrs Shirley Wagner fx trading work is done with a high level of expertise that can only be learned with years of experience at the highest levels. I was amazed by the level of integrity and professionalism she perform her service with. I went in knowing nothing about online trading but Mrs Shirley wagner walked me through every step of the process.… More
18,"Honestly, I had no idea on how to trade on the forex trading. Then I got in contact with a trading expert Lilian Crypto who provides fantastic signals, A regulated platform and manages my account. A $3,000 capital with $41,500 return In one week as estimated.. Serious investors can contact her only and experience some next level trading experience. Her Info: Connect with Lilian Crypto directly via:
WhatsApp: +1(567)698-7858
T.me: https://t.me/Lilianfx03
Telegram channel:
https://t.me/+zaQTYSxxOG0wZDI0
Email: cryptolilian3@gmail.com"
